_id,operator_registration_number,postal_code,ward_number,ward_name
448801,STR-2011-HKCKVK,M4M,14,Toronto-Danforth
448802,STR-2011-HZQKVM,M5V,10,Spadina-Fort York
448803,STR-2011-FFYXVB,M3C,16,Don Valley East
448804,STR-2011-FPFXVC,M5J,10,Spadina-Fort York
448805,STR-2011-FWLXVD,M5V,10,Spadina-Fort York
448806,STR-2011-GDSXVF,M9B,2,Etobicoke Centre
448807,STR-2011-GLYXVG,M9C,2,Etobicoke Centre
448808,STR-2011-GVFXVH,M6P,4,Parkdale-High Park
448809,STR-2011-HCLXVJ,M5J,10,Spadina-Fort York
448810,STR-2011-HKSXVK,M5V,10,Spadina-Fort York
448811,STR-2011-HSYXVL,M4L,14,Toronto-Danforth
448812,STR-2011-FPWKVC,M9B,3,Etobicoke-Lakeshore
448813,STR-2011-GMQKVG,M5J,10,Spadina-Fort York
448814,STR-2011-GVWKVH,M5V,10,Spadina-Fort York
448815,STR-2011-HDCKVJ,M1V,22,Scarborough-Agincourt
448816,STR-2011-HLJKVK,M8Y,3,Etobicoke-Lakeshore
448817,STR-2011-FHFXVB,M5J,10,Spadina-Fort York
448818,STR-2011-FQLXVC,M5J,10,Spadina-Fort York
448819,STR-2011-FXSXVD,M5J,10,Spadina-Fort York
448820,STR-2011-GFYXVF,M5V,10,Spadina-Fort York
448821,STR-2011-GPFXVG,M5J,10,Spadina-Fort York
448822,STR-2011-GWLXVH,M5J,10,Spadina-Fort York
448823,STR-2011-HDSXVJ,M8V,3,Etobicoke-Lakeshore
448824,STR-2011-HLYXVK,M6H,9,Davenport
448825,STR-2011-HVFXVL,M6G,11,University-Rosedale
448826,STR-2011-JCLXVM,M4R,8,Eglinton-Lawrence
448827,STR-2011-FHWKVB,M1H,24,Scarborough-Guildwood
448828,STR-2011-FYJKVD,M9R,2,Etobicoke Centre
448829,STR-2011-GPWKVG,M6J,11,University-Rosedale
448830,STR-2011-GXCKVH,M6A,8,Eglinton-Lawrence
448831,STR-2011-HFJKVJ,M5B,13,Toronto Centre
448832,STR-2011-HMQKVK,M6M,5,York South-Weston
448833,STR-2011-HVWKVL,M6K,9,Davenport
448834,STR-2011-JDCKVM,M4Y,13,Toronto Centre
448835,STR-2011-FJLXVB,M5V,10,Spadina-Fort York
448836,STR-2011-FRSXVC,M1K,21,Scarborough Centre
448837,STR-2011-FYYXVD,M2N,18,Willowdale
448838,STR-2011-GHFXVF,M5M,8,Eglinton-Lawrence
448839,STR-2011-GQLXVG,M6S,4,Parkdale-High Park
448840,STR-2011-GXSXVH,M6L,5,York South-Weston
448841,STR-2011-HFYXVJ,M3A,16,Don Valley East
448842,STR-2011-HPFXVK,M2N,18,Willowdale
448843,STR-2011-HWLXVL,M5T,11,University-Rosedale
448844,STR-2011-JDSXVM,M4K,14,Toronto-Danforth
448845,STR-2011-FSJKVC,M5H,10,Spadina-Fort York
448846,STR-2011-FZQKVD,M5M,8,Eglinton-Lawrence
448847,STR-2011-GHWKVF,M5R,11,University-Rosedale
448848,STR-2011-GRCKVG,M9B,3,Etobicoke-Lakeshore
448849,STR-2011-GYJKVH,M3A,16,Don Valley East
448850,STR-2011-HPWKVK,M5V,10,Spadina-Fort York
448851,STR-2011-HXCKVL,M5V,10,Spadina-Fort York
448852,STR-2011-FKSXVB,M3A,16,Don Valley East
448853,STR-2011-GBFXVD,M6G,11,University-Rosedale
448854,STR-2011-GJLXVF,M2M,18,Willowdale
448855,STR-2011-GRSXVG,M4L,14,Toronto-Danforth
448856,STR-2011-HHFXVJ,M4Y,13,Toronto Centre
448857,STR-2011-HQLXVK,M1K,20,Scarborough Southwest
448858,STR-2011-HXSXVL,M4K,14,Toronto-Danforth
448859,STR-2011-JFYXVM,M6H,9,Davenport
448860,STR-2011-GBWKVD,M5V,10,Spadina-Fort York
448861,STR-2011-GKCKVF,M2R,18,Willowdale
448862,STR-2011-GSJKVG,M6J,10,Spadina-Fort York
448863,STR-2011-GZQKVH,M4J,14,Toronto-Danforth
448864,STR-2011-HHWKVJ,M4J,14,Toronto-Danforth
448865,STR-2011-HRCKVK,M6H,9,Davenport
448866,STR-2011-HYJKVL,M5M,8,Eglinton-Lawrence
448867,STR-2011-JGQKVM,M8W,3,Etobicoke-Lakeshore
448868,STR-2011-FMBDVC,M6R,4,Parkdale-High Park
448869,STR-2011-FVHDVD,M4X,13,Toronto Centre
448870,STR-2011-GCPDVF,M5J,10,Spadina-Fort York
448871,STR-2011-GKVDVG,M5V,10,Spadina-Fort York
448872,STR-2011-GTBDVH,M1W,22,Scarborough-Agincourt
448873,STR-2011-HBHDVJ,M6J,9,Davenport
448874,STR-2011-HJPDVK,M5V,10,Spadina-Fort York
448875,STR-2011-HRVDVL,M5V,10,Spadina-Fort York
448876,STR-2011-FFKRVB,M4K,14,Toronto-Danforth
448877,STR-2011-FMRRVC,M1N,20,Scarborough Southwest
448878,STR-2011-FVXRVD,M6H,9,Davenport
448879,STR-2011-GTRRVH,M6R,4,Parkdale-High Park
448880,STR-2011-HKDRVK,M5S,11,University-Rosedale
448881,STR-2011-HSKRVL,M3A,16,Don Valley East
448882,STR-2011-HZRRVM,M6G,11,University-Rosedale
448883,STR-2011-FGBDVB,M6R,4,Parkdale-High Park
448884,STR-2011-FPHDVC,M1P,21,Scarborough Centre
448885,STR-2011-FWPDVD,M5V,10,Spadina-Fort York
448886,STR-2011-GDVDVF,M9N,5,York South-Weston
448887,STR-2011-GMBDVG,M6J,10,Spadina-Fort York
448888,STR-2011-GVHDVH,M5J,10,Spadina-Fort York
448889,STR-2011-HCPDVJ,M2N,18,Willowdale
448890,STR-2011-JBHDVM,M6H,9,Davenport
448891,STR-2011-FGRRVB,M5V,10,Spadina-Fort York
448892,STR-2011-FPXRVC,M4Y,11,University-Rosedale
448893,STR-2011-FXDRVD,M8V,3,Etobicoke-Lakeshore
448894,STR-2011-GMRRVG,M5V,10,Spadina-Fort York
448895,STR-2011-GVXRVH,M4K,14,Toronto-Danforth
448896,STR-2011-HDDRVJ,M6J,11,University-Rosedale
448897,STR-2011-HLKRVK,M5V,10,Spadina-Fort York
448898,STR-2011-HTRRVL,M9V,1,Etobicoke North
448899,STR-2011-FHHDVB,M6K,4,Parkdale-High Park
448900,STR-2011-FQPDVC,M4X,13,Toronto Centre
448901,STR-2011-GGBDVF,M5V,10,Spadina-Fort York
448902,STR-2011-GPHDVG,M5B,13,Toronto Centre
448903,STR-2011-GWPDVH,M6K,4,Parkdale-High Park
448904,STR-2011-HDVDVJ,M4Y,13,Toronto Centre
448905,STR-2011-HMBDVK,M4S,12,Toronto-St. Paul's
448906,STR-2011-FWRRVD,M6L,5,York South-Weston
448907,STR-2011-HRDRVK,M3H,6,York Centre
448908,STR-2011-HVHDVL,M5J,10,Spadina-Fort York
448909,STR-2011-FHXRVB,M6H,9,Davenport
448910,STR-2011-FRDRVC,M4L,19,Beaches-East York
448911,STR-2011-FYKRVD,M5V,10,Spadina-Fort York
448912,STR-2011-GGRRVF,M2N,18,Willowdale
448913,STR-2011-GPXRVG,M4C,19,Beaches-East York
448914,STR-2011-GXDRVH,M4B,19,Beaches-East York
448915,STR-2011-HFKRVJ,M1R,21,Scarborough Centre
448916,STR-2011-HMRRVK,M4Y,13,Toronto Centre
448917,STR-2011-HVXRVL,M1G,24,Scarborough-Guildwood
448918,STR-2011-JDDRVM,M5V,10,Spadina-Fort York
448919,STR-2011-FJPDVB,M9C,2,Etobicoke Centre
448920,STR-2011-FRVDVC,M5S,11,University-Rosedale
448921,STR-2011-FZBDVD,M6G,11,University-Rosedale
448922,STR-2011-GQPDVG,M5V,10,Spadina-Fort York
448923,STR-2011-GXVDVH,M5V,10,Spadina-Fort York
448924,STR-2011-HGBDVJ,M1S,23,Scarborough North
448925,STR-2011-HPHDVK,M6C,12,Toronto-St. Paul's
448926,STR-2011-JDVDVM,M6R,4,Parkdale-High Park
448927,STR-2011-FKDRVB,M9B,3,Etobicoke-Lakeshore
448928,STR-2011-FSKRVC,M5V,10,Spadina-Fort York
448929,STR-2011-GDXRVF,M6P,4,Parkdale-High Park
448930,STR-2011-FZRRVD,M2N,18,Willowdale
448931,STR-2011-GHXRVF,M4B,19,Beaches-East York
448932,STR-2011-GYKRVH,M4L,14,Toronto-Danforth
448933,STR-2011-HGRRVJ,M5V,10,Spadina-Fort York
448934,STR-2011-HPXRVK,M5R,11,University-Rosedale
448935,STR-2011-HXDRVL,M2R,18,Willowdale
448936,STR-2011-FKVDVB,M3H,6,York Centre
448937,STR-2011-FTBDVC,M2M,18,Willowdale
448938,STR-2011-GBHDVD,M5J,10,Spadina-Fort York
448939,STR-2011-GJPDVF,M5J,10,Spadina-Fort York
448940,STR-2011-GRVDVG,M6G,12,Toronto-St. Paul's
448941,STR-2011-GZBDVH,M1P,21,Scarborough Centre
448942,STR-2011-HQPDVK,M1W,22,Scarborough-Agincourt
448943,STR-2011-HXVDVL,M3K,6,York Centre
448944,STR-2011-JGBDVM,M2H,17,Don Valley North
448945,STR-2011-FLKRVB,M5J,10,Spadina-Fort York
448946,STR-2011-FTRRVC,M4P,15,Don Valley West
448947,STR-2011-GBXRVD,M9B,3,Etobicoke-Lakeshore
448948,STR-2011-GKDRVF,M5V,10,Spadina-Fort York
448949,STR-2011-GSKRVG,M9R,2,Etobicoke Centre
448950,STR-2011-GZRRVH,M5J,10,Spadina-Fort York
448951,STR-2011-HHXRVJ,M4L,14,Toronto-Danforth
448952,STR-2011-HYKRVL,M6K,4,Parkdale-High Park
448953,STR-2011-JGRRVM,M6K,4,Parkdale-High Park
448954,STR-2011-FVJKVD,M5V,10,Spadina-Fort York
448955,STR-2011-GCQKVF,M2N,18,Willowdale
448956,STR-2011-GKWKVG,M5V,10,Spadina-Fort York
448957,STR-2011-GTCKVH,M1T,22,Scarborough-Agincourt
448958,STR-2011-HBJKVJ,M6J,9,Davenport
448959,STR-2011-HRWKVL,M5V,10,Spadina-Fort York
448960,STR-2011-HZCKVM,M2N,18,Willowdale
448961,STR-2011-FMSXVC,M4K,14,Toronto-Danforth
448962,STR-2011-FVYXVD,M6G,12,Toronto-St. Paul's
448963,STR-2011-GDFXVF,M4M,14,Toronto-Danforth
448964,STR-2011-GLLXVG,M6J,10,Spadina-Fort York
448965,STR-2011-GTSXVH,M6K,10,Spadina-Fort York
448966,STR-2011-HKFXVK,M5A,13,Toronto Centre
448967,STR-2011-FGCKVB,M6P,4,Parkdale-High Park
448968,STR-2011-FPJKVC,M5V,10,Spadina-Fort York
448969,STR-2011-FWQKVD,M1P,21,Scarborough Centre
448970,STR-2011-GDWKVF,M5V,10,Spadina-Fort York
448971,STR-2011-GMCKVG,M5J,10,Spadina-Fort York
448972,STR-2011-GVJKVH,M5V,10,Spadina-Fort York
448973,STR-2011-HCQKVJ,M5V,10,Spadina-Fort York
448974,STR-2011-HKWKVK,M4S,12,Toronto-St. Paul's
448975,STR-2011-JBJKVM,M8Y,3,Etobicoke-Lakeshore
448976,STR-2011-FGSXVB,M4B,19,Beaches-East York
448977,STR-2011-FPYXVC,M5V,10,Spadina-Fort York
448978,STR-2011-GMSXVG,M6M,5,York South-Weston
448979,STR-2011-HDFXVJ,M4B,19,Beaches-East York
448980,STR-2011-HLLXVK,M5J,10,Spadina-Fort York
448981,STR-2011-HTSXVL,M9R,2,Etobicoke Centre
448982,STR-2011-FQQKVC,M5J,10,Spadina-Fort York
448983,STR-2011-FXWKVD,M1V,23,Scarborough North
448984,STR-2011-GPJKVG,M2J,17,Don Valley North
448985,STR-2011-GWQKVH,M9V,1,Etobicoke North
448986,STR-2011-HMCKVK,M5A,13,Toronto Centre
448987,STR-2011-JCQKVM,M6R,4,Parkdale-High Park
448988,STR-2011-FHYXVB,M6H,9,Davenport
448989,STR-2011-FRFXVC,M1L,20,Scarborough Southwest
448990,STR-2011-FYLXVD,M5A,13,Toronto Centre
448991,STR-2011-GPYXVG,M1M,20,Scarborough Southwest
448992,STR-2011-GXFXVH,M5J,10,Spadina-Fort York
448993,STR-2011-HFLXVJ,M4L,19,Beaches-East York
448994,STR-2011-HMSXVK,M5V,10,Spadina-Fort York
448995,STR-2011-HVYXVL,M1G,24,Scarborough-Guildwood
448996,STR-2011-FZCKVD,M5J,10,Spadina-Fort York
448997,STR-2011-GHJKVF,M4Y,13,Toronto Centre
448998,STR-2011-GQQKVG,M2N,18,Willowdale
448999,STR-2011-GXWKVH,M5A,13,Toronto Centre
449000,STR-2011-HGCKVJ,M2N,18,Willowdale
449001,STR-2011-HWQKVL,M5A,13,Toronto Centre
449002,STR-2011-JDWKVM,M4M,14,Toronto-Danforth
449003,STR-2011-FSLXVC,M9B,2,Etobicoke Centre
449004,STR-2109-GXHPHH,M4Y,,
449005,STR-2011-FZSXVD,M9L,7,Humber River-Black Creek
449006,STR-2011-GHYXVF,M6G,11,University-Rosedale
449007,STR-2011-GRFXVG,M4L,19,Beaches-East York
449008,STR-2011-GYLXVH,M6B,8,Eglinton-Lawrence
449009,STR-2011-HGSXVJ,M6N,9,Davenport
449010,STR-2011-HPYXVK,M5V,10,Spadina-Fort York
449011,STR-2011-HXFXVL,M5B,13,Toronto Centre
449012,STR-2011-JFLXVM,M5J,10,Spadina-Fort York
449013,STR-2011-FKWKVB,M6K,4,Parkdale-High Park
449014,STR-2011-FTCKVC,M6G,11,University-Rosedale
449015,STR-2011-GBJKVD,M2N,18,Willowdale
449016,STR-2011-GJQKVF,M5V,10,Spadina-Fort York
449017,STR-2011-GRWKVG,M4J,14,Toronto-Danforth
449018,STR-2011-GZCKVH,M6H,9,Davenport
449019,STR-2011-HHJKVJ,M5V,10,Spadina-Fort York
449020,STR-2011-HQQKVK,M1B,25,Scarborough-Rouge Park
449021,STR-2011-HXWKVL,M5A,13,Toronto Centre
449022,STR-2011-GBYXVD,M9C,2,Etobicoke Centre
449023,STR-2011-GKFXVF,M2N,18,Willowdale
449024,STR-2011-GSLXVG,M1C,25,Scarborough-Rouge Park
449025,STR-2011-GZSXVH,M4E,19,Beaches-East York
449026,STR-2011-HHYXVJ,M4M,14,Toronto-Danforth
449027,STR-2011-HRFXVK,M5V,10,Spadina-Fort York
449028,STR-2011-HYLXVL,M5T,10,Spadina-Fort York
449029,STR-2011-JGSXVM,M4X,13,Toronto Centre
449030,STR-2011-FDXRVB,M5J,10,Spadina-Fort York
449031,STR-2011-FMDRVC,M4E,19,Beaches-East York
449032,STR-2011-FVKRVD,M2R,18,Willowdale
449033,STR-2011-GCRRVF,M6G,11,University-Rosedale
449034,STR-2011-GKXRVG,M6G,12,Toronto-St. Paul's
449035,STR-2011-GTDRVH,M4M,14,Toronto-Danforth
449036,STR-2011-HBKRVJ,M5V,10,Spadina-Fort York
449037,STR-2011-HJRRVK,M5J,10,Spadina-Fort York
449038,STR-2011-HRXRVL,M6R,4,Parkdale-High Park
449039,STR-2011-HZDRVM,M2J,17,Don Valley North
449040,STR-2011-FFPDVB,M9L,7,Humber River-Black Creek
449041,STR-2011-FMVDVC,M6P,4,Parkdale-High Park
449042,STR-2011-FWBDVD,M3M,6,York Centre
449043,STR-2011-GDHDVF,M2J,17,Don Valley North
449044,STR-2011-GLPDVG,M1V,23,Scarborough North
449045,STR-2011-GTVDVH,M2N,18,Willowdale
449046,STR-2011-HCBDVJ,M4V,12,Toronto-St. Paul's
449047,STR-2011-HKHDVK,M4K,14,Toronto-Danforth
449048,STR-2011-HSPDVL,M5V,10,Spadina-Fort York
449049,STR-2011-HZVDVM,M6H,9,Davenport
449050,STR-2011-FGDRVB,M5A,13,Toronto Centre
449051,STR-2011-FPKRVC,M4N,15,Don Valley West
449052,STR-2011-GVKRVH,M5V,10,Spadina-Fort York
449053,STR-2011-HCRRVJ,M1C,25,Scarborough-Rouge Park
449054,STR-2011-HKXRVK,M4W,11,University-Rosedale
449055,STR-2011-HTDRVL,M5V,10,Spadina-Fort York
449056,STR-2011-JBKRVM,M5R,11,University-Rosedale
449057,STR-2011-FGVDVB,M5J,10,Spadina-Fort York
449058,STR-2011-FQBDVC,M6J,10,Spadina-Fort York
449059,STR-2011-FXHDVD,M5J,10,Spadina-Fort York
449060,STR-2011-GFPDVF,M1E,24,Scarborough-Guildwood
449061,STR-2011-GMVDVG,M5J,10,Spadina-Fort York
449062,STR-2011-GWBDVH,M9B,2,Etobicoke Centre
449063,STR-2011-HDHDVJ,M5J,10,Spadina-Fort York
449064,STR-2011-HLPDVK,M2N,18,Willowdale
449065,STR-2011-HTVDVL,M5V,10,Spadina-Fort York
449066,STR-2011-JCBDVM,M5A,13,Toronto Centre
449067,STR-2011-FQRRVC,M5V,10,Spadina-Fort York
449068,STR-2011-FXXRVD,M4E,19,Beaches-East York
449069,STR-2011-GGDRVF,M6J,9,Davenport
449070,STR-2011-GWRRVH,M4L,19,Beaches-East York
449071,STR-2011-HDXRVJ,M6K,4,Parkdale-High Park
449072,STR-2011-HMDRVK,M6N,5,York South-Weston
449073,STR-2011-HVKRVL,M6K,10,Spadina-Fort York
449074,STR-2011-JCRRVM,M5A,13,Toronto Centre
449075,STR-2011-FJBDVB,M5H,10,Spadina-Fort York
449076,STR-2011-FYPDVD,M6K,4,Parkdale-High Park
449077,STR-2011-GGVDVF,M5V,10,Spadina-Fort York
449078,STR-2011-GQBDVG,M5R,11,University-Rosedale
449079,STR-2011-GXHDVH,M6J,11,University-Rosedale
449080,STR-2011-HFPDVJ,M1C,25,Scarborough-Rouge Park
449081,STR-2011-HWBDVL,M1C,25,Scarborough-Rouge Park
449082,STR-2011-FJRRVB,M4Y,13,Toronto Centre
449083,STR-2011-FRXRVC,M5T,11,University-Rosedale
449084,STR-2011-FZDRVD,M4B,19,Beaches-East York
449085,STR-2011-GHKRVF,M6J,10,Spadina-Fort York
449086,STR-2011-GQRRVG,M2L,15,Don Valley West
449087,STR-2011-GXXRVH,M4G,15,Don Valley West
449088,STR-2011-HGDRVJ,M5J,10,Spadina-Fort York
449089,STR-2011-HPKRVK,M8V,3,Etobicoke-Lakeshore
449090,STR-2011-JDXRVM,M5R,11,University-Rosedale
449091,STR-2011-FKHDVB,M5J,10,Spadina-Fort York
449092,STR-2011-FSPDVC,M5J,10,Spadina-Fort York
449093,STR-2011-FZVDVD,M6G,11,University-Rosedale
449094,STR-2011-GJBDVF,M5A,13,Toronto Centre
449095,STR-2011-GRHDVG,M6E,9,Davenport
449096,STR-2011-GYPDVH,M4M,14,Toronto-Danforth
449097,STR-2011-HGVDVJ,M5A,13,Toronto Centre
449098,STR-2011-HQBDVK,M4R,8,Eglinton-Lawrence
449099,STR-2011-HXHDVL,M6E,9,Davenport
449100,STR-2011-FKXRVB,M3A,16,Don Valley East
449101,STR-2011-FTDRVC,M8Y,3,Etobicoke-Lakeshore
449102,STR-2011-GBKRVD,M6E,9,Davenport
449103,STR-2011-GJRRVF,M5R,11,University-Rosedale
449104,STR-2011-GRXRVG,M4R,8,Eglinton-Lawrence
449105,STR-2011-GZDRVH,M8V,3,Etobicoke-Lakeshore
449106,STR-2011-HHKRVJ,M9C,2,Etobicoke Centre
449107,STR-2011-HQRRVK,M5V,10,Spadina-Fort York
449108,STR-2011-HXXRVL,M4J,14,Toronto-Danforth
449109,STR-2011-JGDRVM,M5R,11,University-Rosedale
449110,STR-2011-FLPDVB,M5V,10,Spadina-Fort York
449111,STR-2011-FTVDVC,M5R,11,University-Rosedale
449112,STR-2011-GCBDVD,M8Y,3,Etobicoke-Lakeshore
449113,STR-2012-GKHDVF,M5A,13,Toronto Centre
449114,STR-2012-GZVDVH,M5J,10,Spadina-Fort York
449115,STR-2012-HJBDVJ,M6H,9,Davenport
449116,STR-2012-HRHDVK,M5J,10,Spadina-Fort York
449117,STR-2012-HYPDVL,M6C,9,Davenport
449118,STR-2012-JGVDVM,M6N,5,York South-Weston
449119,STR-2012-FDYXVB,M1T,22,Scarborough-Agincourt
449120,STR-2012-FMFXVC,M3L,7,Humber River-Black Creek
449121,STR-2012-FVLXVD,M5A,13,Toronto Centre
449122,STR-2012-GCSXVF,M5V,10,Spadina-Fort York
449123,STR-2012-GKYXVG,M1M,24,Scarborough-Guildwood
449124,STR-2012-GTFXVH,M5T,11,University-Rosedale
449125,STR-2012-HBLXVJ,M5A,13,Toronto Centre
449126,STR-2012-HJSXVK,M5A,13,Toronto Centre
449127,STR-2012-HRYXVL,M5V,10,Spadina-Fort York
449128,STR-2012-HZFXVM,M4Y,13,Toronto Centre
449129,STR-2012-FFQKVB,M4J,14,Toronto-Danforth
449130,STR-2012-FMWKVC,M5T,10,Spadina-Fort York
449131,STR-2012-FWCKVD,M5V,10,Spadina-Fort York
449132,STR-2012-GDJKVF,M5V,10,Spadina-Fort York
449133,STR-2012-GLQKVG,M5A,13,Toronto Centre
449134,STR-2012-GTWKVH,M5J,10,Spadina-Fort York
449135,STR-2012-HCCKVJ,M4S,12,Toronto-St. Paul's
449136,STR-2012-HKJKVK,M9A,2,Etobicoke Centre
449137,STR-2012-HZWKVM,M6A,8,Eglinton-Lawrence
449138,STR-2012-FPLXVC,M4K,14,Toronto-Danforth
449139,STR-2012-GDYXVF,M5R,11,University-Rosedale
449140,STR-2012-GMFXVG,M5B,13,Toronto Centre
449141,STR-2012-GVLXVH,M6P,9,Davenport
449142,STR-2012-HKYXVK,M4C,19,Beaches-East York
449143,STR-2012-JBLXVM,M6L,5,York South-Weston
449144,STR-2012-FGWKVB,M1S,23,Scarborough North
449145,STR-2012-FQCKVC,M5R,11,University-Rosedale
449146,STR-2012-FXJKVD,M5R,11,University-Rosedale
449147,STR-2012-GFQKVF,M5R,11,University-Rosedale
449148,STR-2012-GMWKVG,M5A,13,Toronto Centre
449149,STR-2012-HDJKVJ,M5V,10,Spadina-Fort York
449150,STR-2012-HLQKVK,M5G,11,University-Rosedale
449151,STR-2012-HTWKVL,M6J,10,Spadina-Fort York
449152,STR-2012-FHLXVB,M6H,9,Davenport
449153,STR-2012-FQSXVC,M6J,9,Davenport
449154,STR-2012-FXYXVD,M5V,10,Spadina-Fort York
449155,STR-2012-GGFXVF,M4V,12,Toronto-St. Paul's
449156,STR-2012-GPLXVG,M5J,10,Spadina-Fort York
449157,STR-2012-GWSXVH,M1T,22,Scarborough-Agincourt
449158,STR-2012-HDYXVJ,M5V,10,Spadina-Fort York
449159,STR-2012-HMFXVK,M6P,4,Parkdale-High Park
449160,STR-2012-HVLXVL,M5V,10,Spadina-Fort York
449161,STR-2012-JCSXVM,M5V,10,Spadina-Fort York
449162,STR-2012-FRJKVC,M5J,10,Spadina-Fort York
449163,STR-2012-FYQKVD,M4C,19,Beaches-East York
449164,STR-2012-GGWKVF,M1V,22,Scarborough-Agincourt
449165,STR-2012-GQCKVG,M6K,4,Parkdale-High Park
449166,STR-2012-GXJKVH,M6J,10,Spadina-Fort York
449167,STR-2012-HFQKVJ,M1W,22,Scarborough-Agincourt
449168,STR-2012-HMWKVK,M2N,18,Willowdale
449169,STR-2012-JDJKVM,M4W,11,University-Rosedale
449170,STR-2012-FJSXVB,M5V,10,Spadina-Fort York
449171,STR-2012-FRYXVC,M4M,14,Toronto-Danforth
449172,STR-2012-FZFXVD,M9V,1,Etobicoke North
449173,STR-2012-GHLXVF,M2J,17,Don Valley North
449174,STR-2012-GXYXVH,M1M,20,Scarborough Southwest
449175,STR-2012-HGFXVJ,M6M,5,York South-Weston
449176,STR-2012-HPLXVK,M4C,19,Beaches-East York
449177,STR-2012-HWSXVL,M6K,9,Davenport
449178,STR-2012-JDYXVM,M5R,11,University-Rosedale
449179,STR-2012-FKJKVB,M5H,10,Spadina-Fort York
449180,STR-2012-FSQKVC,M5V,10,Spadina-Fort York
449181,STR-2012-FZWKVD,M6A,8,Eglinton-Lawrence
449182,STR-2012-GJCKVF,M3H,6,York Centre
449183,STR-2012-HGWKVJ,M6K,10,Spadina-Fort York
449184,STR-2012-HQCKVK,M1S,23,Scarborough North
449185,STR-2012-JFQKVM,M5V,10,Spadina-Fort York
449186,STR-2012-FTFXVC,M5J,10,Spadina-Fort York
449187,STR-2012-GBLXVD,M5V,10,Spadina-Fort York
449188,STR-2012-GJSXVF,M9W,1,Etobicoke North
449189,STR-2012-GZFXVH,M5B,13,Toronto Centre
449190,STR-2012-HXYXVL,M5V,10,Spadina-Fort York
449191,STR-2012-JGFXVM,M5J,10,Spadina-Fort York
449192,STR-2012-GCCKVD,M2J,17,Don Valley North
449193,STR-2012-GKJKVF,M6J,10,Spadina-Fort York
449194,STR-2012-GSQKVG,M6G,12,Toronto-St. Paul's
449195,STR-2012-GZWKVH,M6K,9,Davenport
449196,STR-2012-HJCKVJ,M5V,10,Spadina-Fort York
449197,STR-2012-HRJKVK,M1V,23,Scarborough North
449198,STR-2012-JGWKVM,M4Y,13,Toronto Centre
449199,STR-2012-FFBDVB,M4E,19,Beaches-East York
449200,STR-2012-FVPDVD,M3J,7,Humber River-Black Creek
449201,STR-2012-GCVDVF,M6G,11,University-Rosedale
449202,STR-2012-HBPDVJ,M5A,13,Toronto Centre
449203,STR-2012-HJVDVK,M5V,10,Spadina-Fort York
449204,STR-2012-HSBDVL,M6J,10,Spadina-Fort York
449205,STR-2012-HZHDVM,M6K,9,Davenport
449206,STR-2012-FFRRVB,M6S,4,Parkdale-High Park
449207,STR-2012-FMXRVC,M3A,16,Don Valley East
449208,STR-2012-FWDRVD,M5V,10,Spadina-Fort York
449209,STR-2012-GDKRVF,M6S,4,Parkdale-High Park
449210,STR-2012-GLRRVG,M6S,4,Parkdale-High Park
449211,STR-2012-GTXRVH,M4P,15,Don Valley West
449212,STR-2012-HCDRVJ,M5S,11,University-Rosedale
449213,STR-2012-HKKRVK,M6J,11,University-Rosedale
449214,STR-2012-HSRRVL,M6R,4,Parkdale-High Park
449215,STR-2012-FGHDVB,M6C,12,Toronto-St. Paul's
449216,STR-2012-FPPDVC,M6H,9,Davenport
449217,STR-2012-FWVDVD,M2K,17,Don Valley North
449218,STR-2012-GFBDVF,M4C,19,Beaches-East York
449219,STR-2012-GVPDVH,M5J,10,Spadina-Fort York
449220,STR-2012-HCVDVJ,M4L,14,Toronto-Danforth
449221,STR-2012-HLBDVK,M4L,14,Toronto-Danforth
449222,STR-2012-HTHDVL,M5A,13,Toronto Centre
449223,STR-2012-JBPDVM,M6J,9,Davenport
449224,STR-2012-FGXRVB,M4M,14,Toronto-Danforth
449225,STR-2012-FQDRVC,M6R,4,Parkdale-High Park
449226,STR-2012-FXKRVD,M6R,4,Parkdale-High Park
449227,STR-2012-GFRRVF,M4L,14,Toronto-Danforth
449228,STR-2012-GMXRVG,M9P,2,Etobicoke Centre
449229,STR-2012-GWDRVH,M5A,13,Toronto Centre
449230,STR-2012-HLRRVK,M6K,10,Spadina-Fort York
449231,STR-2012-HTXRVL,M2M,18,Willowdale
449232,STR-2012-JCDRVM,M9N,5,York South-Weston
449233,STR-2012-FQVDVC,M2H,17,Don Valley North
449234,STR-2012-GPPDVG,M6K,10,Spadina-Fort York
449235,STR-2012-GWVDVH,M8W,3,Etobicoke-Lakeshore
449236,STR-2012-HFBDVJ,M5J,10,Spadina-Fort York
449237,STR-2012-HMHDVK,M5V,10,Spadina-Fort York
449238,STR-2012-HVPDVL,M5A,13,Toronto Centre
449239,STR-2012-FJDRVB,M6G,11,University-Rosedale
449240,STR-2012-FRKRVC,M6H,9,Davenport
449241,STR-2012-FYRRVD,M6G,11,University-Rosedale
449242,STR-2012-GGXRVF,M5T,11,University-Rosedale
449243,STR-2012-GQDRVG,M5A,13,Toronto Centre
449244,STR-2012-HFRRVJ,M6H,9,Davenport
449245,STR-2012-HMXRVK,M6K,4,Parkdale-High Park
449246,STR-2012-HWDRVL,M4M,14,Toronto-Danforth
449247,STR-2012-JDKRVM,M6E,9,Davenport
449248,STR-2012-FJVDVB,M5V,10,Spadina-Fort York
