_id,operator_registration_number,postal_code,ward_number,ward_name
450903,STR-2109-FTFBHC,M4M,14,Toronto-Danforth
450904,STR-2109-GBLBHD,M5J,10,Spadina-Fort York
450905,STR-2109-GJSBHF,M5V,10,Spadina-Fort York
450906,STR-2109-GRYBHG,M4T,11,University-Rosedale
450907,STR-2109-GZFBHH,M5V,10,Spadina-Fort York
450908,STR-2109-HHLBHJ,M5J,10,Spadina-Fort York
450909,STR-2109-HQSBHK,M5V,10,Spadina-Fort York
450910,STR-2109-JGFBHM,M8V,3,Etobicoke-Lakeshore
450911,STR-2109-FLPPHB,M5J,10,Spadina-Fort York
450912,STR-2109-GKHPHF,M6E,9,Davenport
450913,STR-2109-GSPPHG,M4Y,13,Toronto Centre
450914,STR-2109-GZVPHH,M5E,13,Toronto Centre
450915,STR-2109-HJBPHJ,M2M,18,Willowdale
450916,STR-2109-HRHPHK,M5B,13,Toronto Centre
450917,STR-2109-HYPPHL,M8V,3,Etobicoke-Lakeshore
450918,STR-2109-JGVPHM,M4L,19,Beaches-East York
450919,STR-2109-FDZHHB,M5A,13,Toronto Centre
450920,STR-2109-FMGHHC,M4L,14,Toronto-Danforth
450921,STR-2109-FVMHHD,M2N,18,Willowdale
450922,STR-2109-GCTHHF,M6M,5,York South-Weston
450923,STR-2109-GKZHHG,M5A,13,Toronto Centre
450924,STR-2109-GTGHHH,M4E,19,Beaches-East York
450925,STR-2109-HJTHHK,M6N,5,York South-Weston
450926,STR-2109-HRZHHL,M9A,2,Etobicoke Centre
450927,STR-2109-HZGHHM,M5V,10,Spadina-Fort York
450928,STR-2109-FFQVHB,M6M,5,York South-Weston
450929,STR-2109-FMWVHC,M5J,10,Spadina-Fort York
450930,STR-2109-FWCVHD,M5A,13,Toronto Centre
450931,STR-2110-GDJVHF,M3A,16,Don Valley East
450932,STR-2110-GTWVHH,M4W,11,University-Rosedale
450933,STR-2110-HCCVHJ,M4Y,,
450934,STR-2110-HKJVHK,M1P,21,Scarborough Centre
450935,STR-2110-HSQVHL,M2K,17,Don Valley North
450936,STR-2110-FGGHHB,M4J,14,Toronto-Danforth
450937,STR-2110-FWTHHD,M6G,12,Toronto-St. Paul's
450938,STR-2110-GDZHHF,M9M,7,Humber River-Black Creek
450939,STR-2110-GMGHHG,M5E,10,Spadina-Fort York
450940,STR-2110-GVMHHH,M5R,11,University-Rosedale
450941,STR-2110-HCTHHJ,M6G,11,University-Rosedale
450942,STR-2110-HKZHHK,M4L,14,Toronto-Danforth
450943,STR-2110-HTGHHL,M2K,17,Don Valley North
450944,STR-2110-FGWVHB,M5V,10,Spadina-Fort York
450945,STR-2110-FQCVHC,M3M,6,York Centre
450946,STR-2110-FXJVHD,M6N,9,Davenport
450947,STR-2110-GFQVHF,M6K,10,Spadina-Fort York
450948,STR-2110-GMWVHG,M6B,8,Eglinton-Lawrence
450949,STR-2110-GWCVHH,M5V,,
450950,STR-2110-HDJVHJ,M1B,25,Scarborough-Rouge Park
450951,STR-2110-HLQVHK,M4P,15,Don Valley West
450952,STR-2110-HTWVHL,M5J,10,Spadina-Fort York
450953,STR-2110-JCCVHM,M5J,10,Spadina-Fort York
450954,STR-2110-FXZHHD,M4L,14,Toronto-Danforth
450955,STR-2110-GGGHHF,M1N,20,Scarborough Southwest
450956,STR-2110-GPMHHG,M5B,13,Toronto Centre
450957,STR-2110-GWTHHH,M4L,14,Toronto-Danforth
450958,STR-2110-HDZHHJ,M6G,12,Toronto-St. Paul's
450959,STR-2110-HMGHHK,M5J,10,Spadina-Fort York
450960,STR-2110-HVMHHL,M4M,14,Toronto-Danforth
450961,STR-2110-JCTHHM,M5T,11,University-Rosedale
450962,STR-2110-FYQVHD,M4L,14,Toronto-Danforth
450963,STR-2110-GGWVHF,M2R,6,York Centre
450964,STR-2110-GQCVHG,M2K,17,Don Valley North
450965,STR-2110-HFQVHJ,M2J,17,Don Valley North
450966,STR-2110-HMWVHK,M5V,10,Spadina-Fort York
450967,STR-2110-HWCVHL,M5A,13,Toronto Centre
450968,STR-2110-JDJVHM,M2J,17,Don Valley North
450969,STR-2110-FJTHHB,M4X,13,Toronto Centre
450970,STR-2110-FRZHHC,M2J,17,Don Valley North
450971,STR-2110-GHMHHF,M1K,21,Scarborough Centre
450972,STR-2110-GQTHHG,M6C,12,Toronto-St. Paul's
